movie_id,topic_id
1,5
1,8
2,8
3,5
4,19
5,19
5,18
6,18
7,19
8,19
8,18
8,16
9,8
10,8
11,8
12,1
12,8
13,2
14,2
14,19
15,19
16,1
16,2
17,1
18,6
19,7
20,13
21,13
20,8
22,10
20,16
23,11
23,8
24,1
25,19
26,2
27,2
27,19
27,16
27,3
29,5
29,17
30,1
31,1
32,5
33,1
34,19
35,5
36,19
37,9
37,10
37,17
37,5
38,5
38,8
38,10
39,8
40,10
40,5
41,5
41,11
42,8
42,5
43,10
43,8
44,5
45,9
45,10
45,5
46,16
47,5
48,17
48,8
49,5
49,8
50,5
51,5
52,6
52,19
53,6
53,19
54,20
54,4
55,6
56,5
57,2
58,19
58,8
59,8
60,8
